Plant type,P1,P5,P4,P3,P2,P6,P12,P11,P10,P9,P8,P7,P15,P14,P31,P13,P26,P25,P19,P16,P17,P18,P24,P23,P22,P21,P20,P30,P29,P28,P27
E1,32,50,51,53,45,26,9,50,51,53,45,38,34,39,45,54,31,32,29,34,39,47,36,7,50,52,6,49,42,44,5
E2,223,352,359,374,319,184,67,354,359,374,319,270,240,275,316,363,219,224,205,241,272,328,256,261,352,367,47,344,298,307,39
E3,32,50,52,54,46,26,10,51,52,54,46,39,34,39,45,52,31,32,30,35,39,47,37,38,50,53,7,49,43,44,6
E4,32,50,51,54,46,26,10,51,51,54,46,39,34,39,45,52,31,32,29,34,39,47,37,37,50,52,7,49,43,44,6
E5,64,100,102,107,91,52,19,101,102,107,91,77,68,78,90,104,62,64,59,69,78,94,73,74,100,105,14,98,85,88,11
E6,64,100,102,107,92,52,20,101,102,107,92,78,68,78,90,104,62,64,58,68,78,94,73,74,100,104,14,98,86,88,12
E7,63,100,103,107,91,53,19,101,103,107,91,77,68,78,90,103,63,63,59,69,77,93,73,75,101,105,13,98,85,87,11
E8,64,101,103,107,91,53,19,101,103,107,91,77,69,79,90,104,63,64,59,69,77,94,73,75,101,105,13,99,85,88,11
E9,95,151,154,160,137,79,29,151,154,160,137,116,103,118,136,155,94,95,88,103,116,140,109,112,151,157,20,148,127,131,17
E10,31,50,51,53,45,26,9,50,51,53,45,38,34,39,45,51,31,32,29,34,38,47,36,37,50,52,6,49,42,43,5
