polygon,plant_type,planted
P1,E1,32
P1,E2,223
P1,E3,0
P1,E4,32
P1,E5,64
P1,E6,64
P1,E7,63
P1,E8,64
P1,E9,0
P1,E10,31
P5,E1,50
P5,E2,352
P5,E3,0
P5,E4,50
P5,E5,100
P5,E6,100
P5,E7,80
P5,E8,101
P5,E9,151
P5,E10,50
P4,E1,0
P4,E2,359
P4,E3,52
P4,E4,51
P4,E5,102
P4,E6,102
P4,E7,80
P4,E8,103
P4,E9,154
P4,E10,51
P3,E1,53
P3,E2,374
P3,E3,54
P3,E4,54
P3,E5,107
P3,E6,107
P3,E7,0
P3,E8,107
P3,E9,160
P3,E10,53
P2,E1,0
P2,E2,319
P2,E3,0
P2,E4,46
P2,E5,91
P2,E6,92
P2,E7,80
P2,E8,91
P2,E9,137
P2,E10,45
P6,E1,26
P6,E2,184
P6,E3,0
P6,E4,26
P6,E5,52
P6,E6,52
P6,E7,53
P6,E8,53
P6,E9,0
P6,E10,26
P12,E1,0
P12,E2,67
P12,E3,0
P12,E4,10
P12,E5,19
P12,E6,0
P12,E7,0
P12,E8,0
P12,E9,0
P12,E10,9
P11,E1,0
P11,E2,354
P11,E3,51
P11,E4,51
P11,E5,101
P11,E6,101
P11,E7,80
P11,E8,101
P11,E9,113
P11,E10,50
P10,E1,0
P10,E2,359
P10,E3,52
P10,E4,51
P10,E5,102
P10,E6,102
P10,E7,103
P10,E8,103
P10,E9,80
P10,E10,51
P9,E1,53
P9,E2,374
P9,E3,54
P9,E4,54
P9,E5,107
P9,E6,22
P9,E7,107
P9,E8,107
P9,E9,160
P9,E10,53
P8,E1,0
P8,E2,319
P8,E3,0
P8,E4,46
P8,E5,91
P8,E6,92
P8,E7,80
P8,E8,91
P8,E9,137
P8,E10,45
P7,E1,0
P7,E2,270
P7,E3,0
P7,E4,39
P7,E5,77
P7,E6,78
P7,E7,77
P7,E8,77
P7,E9,0
P7,E10,38
P15,E1,0
P15,E2,240
P15,E3,0
P15,E4,34
P15,E5,68
P15,E6,68
P15,E7,68
P15,E8,69
P15,E9,0
P15,E10,34
P13,E1,54
P13,E2,363
P13,E3,52
P13,E4,52
P13,E5,104
P13,E6,80
P13,E7,80
P13,E8,104
P13,E9,113
P13,E10,51
P31,E1,45
P31,E2,316
P31,E3,0
P31,E4,45
P31,E5,90
P31,E6,90
P31,E7,80
P31,E8,90
P31,E9,113
P31,E10,45
P14,E1,39
P14,E2,275
P14,E3,0
P14,E4,39
P14,E5,78
P14,E6,78
P14,E7,78
P14,E8,79
P14,E9,80
P14,E10,39
P16,E1,34
P16,E2,241
P16,E3,0
P16,E4,34
P16,E5,69
P16,E6,68
P16,E7,69
P16,E8,69
P16,E9,80
P16,E10,34
P17,E1,39
P17,E2,272
P17,E3,0
P17,E4,39
P17,E5,78
P17,E6,78
P17,E7,77
P17,E8,77
P17,E9,33
P17,E10,38
P19,E1,0
P19,E2,205
P19,E3,0
P19,E4,29
P19,E5,59
P19,E6,58
P19,E7,59
P19,E8,59
P19,E9,0
P19,E10,29
P18,E1,0
P18,E2,328
P18,E3,47
P18,E4,47
P18,E5,94
P18,E6,94
P18,E7,80
P18,E8,94
P18,E9,140
P18,E10,47
P24,E1,36
P24,E2,256
P24,E3,0
P24,E4,37
P24,E5,73
P24,E6,73
P24,E7,73
P24,E8,73
P24,E9,0
P24,E10,36
P23,E1,0
P23,E2,261
P23,E3,0
P23,E4,37
P23,E5,74
P23,E6,74
P23,E7,75
P23,E8,75
P23,E9,33
P23,E10,37
P22,E1,50
P22,E2,352
P22,E3,50
P22,E4,50
P22,E5,100
P22,E6,100
P22,E7,0
P22,E8,101
P22,E9,151
P22,E10,50
P21,E1,52
P21,E2,367
P21,E3,53
P21,E4,52
P21,E5,105
P21,E6,102
P21,E7,80
P21,E8,105
P21,E9,80
P21,E10,52
P20,E1,0
P20,E2,47
P20,E3,0
P20,E4,7
P20,E5,14
P20,E6,0
P20,E7,0
P20,E8,0
P20,E9,0
P20,E10,6
P25,E1,32
P25,E2,224
P25,E3,0
P25,E4,32
P25,E5,64
P25,E6,64
P25,E7,63
P25,E8,64
P25,E9,0
P25,E10,32
P26,E1,0
P26,E2,219
P26,E3,0
P26,E4,31
P26,E5,62
P26,E6,62
P26,E7,63
P26,E8,63
P26,E9,0
P26,E10,31
P30,E1,49
P30,E2,344
P30,E3,0
P30,E4,49
P30,E5,98
P30,E6,80
P30,E7,80
P30,E8,80
P30,E9,148
P30,E10,49
P29,E1,42
P29,E2,298
P29,E3,43
P29,E4,43
P29,E5,85
P29,E6,80
P29,E7,80
P29,E8,80
P29,E9,80
P29,E10,42
P28,E1,44
P28,E2,307
P28,E3,0
P28,E4,44
P28,E5,88
P28,E6,88
P28,E7,80
P28,E8,88
P28,E9,80
P28,E10,43
P27,E1,0
P27,E2,39
P27,E3,0
P27,E4,6
P27,E5,11
P27,E6,0
P27,E7,0
P27,E8,0
P27,E9,0
P27,E10,5
