day,nursery,plant_type,quantity,arrival_day
0,V2,E5,1392,1
0,V2,E7,1390,1
0,V3,E6,518,1
1,V2,E5,1200,2
2,V2,E5,600,3
3,V2,E5,192,4
3,V2,E7,408,4
4,V2,E7,600,5
5,V2,E7,300,6
7,V2,E7,82,8
7,V3,E6,518,8
8,V3,E6,600,9
9,V3,E6,275,10
9,V3,E8,325,10
10,V2,E5,5,11
10,V2,E7,408,11
10,V3,E8,187,11
11,V2,E7,200,12
11,V3,E8,400,12
12,V3,E8,380,13
13,V3,E8,103,14
13,V3,E4,57,14
14,V2,E7,82,15
14,V3,E6,278,15
14,V3,E8,183,15
14,V3,E4,57,15
15,V3,E6,200,16
15,V3,E4,400,16
16,V3,E8,245,17
16,V3,E4,241,17
16,V4,E1,114,17
17,V2,E7,88,18
17,V3,E8,187,18
17,V4,E1,325,18
18,V3,E8,400,19
18,V4,E1,200,19
19,V4,E1,55,20
19,V4,E2,245,20
21,V2,E7,82,22
21,V3,E6,278,22
21,V3,E8,103,22
21,V4,E2,137,22
22,V3,E6,200,23
22,V3,E4,143,23
22,V4,E2,257,23
23,V3,E8,245,24
23,V3,E4,144,24
23,V4,E2,211,24
24,V2,E7,88,25
24,V3,E8,187,25
24,V4,E1,75,25
24,V4,E2,250,25
25,V3,E8,400,26
25,V4,E2,200,26
26,V4,E2,300,27
27,V4,E2,137,28
28,V2,E7,82,29
28,V3,E6,278,29
28,V3,E8,103,29
28,V4,E2,137,29
29,V3,E6,200,30
29,V3,E4,97,30
29,V4,E2,303,30
30,V3,E8,245,31
30,V3,E4,53,31
30,V4,E2,302,31
31,V2,E7,88,32
31,V3,E8,187,32
31,V4,E2,325,32
32,V3,E8,240,33
32,V4,E2,360,33
33,V4,E2,300,34
34,V4,E2,80,35
35,V2,E7,82,36
35,V3,E6,278,36
35,V3,E8,103,36
35,V4,E2,137,36
36,V3,E6,200,37
36,V3,E4,53,37
36,V4,E2,347,37
37,V3,E8,245,38
37,V3,E4,10,38
37,V4,E2,345,38
38,V2,E7,88,39
38,V3,E8,187,39
38,V4,E2,325,39
39,V3,E8,240,40
39,V4,E2,360,40
40,V2,E3,300,41
41,V2,E3,137,42
42,V2,E7,82,43
42,V3,E6,278,43
42,V3,E8,103,43
42,V2,E3,137,43
43,V3,E6,200,44
43,V3,E4,53,44
43,V2,E3,264,44
43,V1,E10,83,44
44,V3,E8,245,45
44,V3,E4,10,45
44,V1,E10,345,45
45,V2,E7,88,46
45,V3,E8,187,46
45,V1,E10,262,46
45,V1,E9,63,46
46,V3,E8,240,47
46,V4,E2,100,47
46,V1,E9,260,47
47,V2,E3,35,48
47,V1,E9,265,48
49,V2,E7,82,50
49,V3,E6,278,50
49,V3,E8,103,50
49,V2,E3,36,50
49,V1,E9,101,50
50,V3,E6,200,51
50,V3,E4,53,51
50,V2,E3,125,51
50,V1,E9,222,51
51,V3,E8,245,52
51,V3,E4,10,52
51,V1,E10,91,52
51,V1,E9,254,52
52,V2,E7,88,53
52,V3,E8,187,53
52,V1,E10,37,53
52,V1,E9,288,53
53,V3,E8,240,54
53,V4,E2,2,54
53,V1,E9,358,54
54,V1,E9,300,55
55,V1,E9,116,56
56,V2,E7,82,57
56,V3,E6,198,57
56,V3,E8,103,57
56,V1,E9,217,57
57,V3,E6,200,58
57,V3,E4,53,58
57,V1,E9,347,58
58,V3,E8,165,59
58,V1,E9,312,59
59,V2,E7,17,60
59,V3,E8,187,60
59,V1,E9,288,60
60,V1,E9,278,61
63,V2,E7,82,64
63,V3,E6,130,64
63,V3,E8,103,64
63,V1,E9,101,64
64,V3,E6,62,65
64,V1,E9,347,65
65,V1,E9,152,66
66,V3,E8,51,67
66,V1,E9,288,67
70,V2,E7,49,71
70,V3,E8,103,71
70,V1,E9,101,71
71,V3,E6,6,72
71,V1,E9,347,72
77,V3,E8,13,78
77,V1,E9,101,78
78,V1,E9,108,79
