day,polygon,plant_type,quantity,arrival_day_of_batch,survival_rate_applied
3,P3,E5,80,1,0.5
3,P9,E5,80,1,0.5
3,P21,E5,80,1,0.5
3,P13,E5,80,1,0.5
3,P10,E5,80,1,0.5
4,P11,E5,80,1,0.65
4,P5,E5,80,1,0.65
4,P18,E5,80,1,0.65
4,P8,E5,80,1,0.65
4,P2,E5,80,1,0.65
5,P31,E5,80,1,0.8
5,P28,E5,80,1,0.8
7,P29,E5,80,2,0.9
7,P15,E5,68,2,0.9
7,P19,E5,59,2,0.9
7,P3,E5,27,2,0.9
7,P9,E5,27,2,0.9
8,P21,E5,25,3,0.9
8,P13,E5,24,3,0.9
8,P10,E5,22,3,0.9
8,P11,E5,21,3,0.9
8,P5,E5,20,3,0.9
9,P18,E5,14,4,0.9
9,P8,E5,11,4,0.9
9,P2,E5,11,4,0.9
9,P31,E5,10,4,0.9
9,P28,E5,8,4,0.9
10,P3,E7,80,5,0.92
10,P9,E7,80,5,0.92
10,P21,E7,80,5,0.92
10,P10,E7,80,5,0.92
10,P13,E7,80,5,0.92
11,P11,E7,80,6,0.92
11,P5,E7,80,6,0.92
11,P18,E7,80,6,0.92
11,P8,E7,60,6,0.92
11,P3,E6,80,8,0.66
12,P9,E6,80,8,0.82
12,P21,E6,80,8,0.82
14,P13,E6,80,9,0.91
14,P10,E6,80,9,0.91
14,P11,E6,80,9,0.91
14,P5,E6,80,9,0.91
14,P18,E6,80,9,0.91
15,P8,E6,80,10,0.91
15,P2,E6,80,10,0.91
15,P31,E6,80,10,0.91
15,P28,E6,35,10,0.91
15,P3,E8,80,10,0.91
16,P29,E5,5,11,0.9
16,P2,E7,80,11,0.92
16,P31,E7,80,11,0.92
16,P28,E7,80,11,0.92
16,P29,E7,80,11,0.92
17,P15,E7,68,12,0.92
17,P19,E7,59,12,0.92
17,P8,E7,31,12,0.92
17,P3,E7,27,12,0.92
17,P9,E7,15,12,0.92
18,P9,E8,80,13,0.91
18,P21,E8,80,13,0.91
18,P13,E8,80,13,0.91
18,P10,E8,80,13,0.91
18,P5,E8,60,13,0.91
19,P3,E4,54,14,0.87
19,P9,E4,3,14,0.87
21,P21,E4,52,16,0.87
21,P13,E4,52,16,0.87
21,P10,E4,51,16,0.87
21,P9,E4,51,16,0.87
21,P11,E4,51,16,0.87
22,P13,E1,54,17,0.9
22,P3,E1,53,17,0.9
22,P9,E1,7,17,0.9
22,P5,E4,50,17,0.87
22,P18,E4,47,17,0.87
23,P21,E1,52,18,0.9
23,P10,E1,51,18,0.9
23,P5,E1,50,18,0.9
23,P11,E1,50,18,0.9
23,P18,E1,47,18,0.9
24,P9,E1,46,19,0.9
24,P8,E1,45,19,0.9
24,P2,E1,45,19,0.9
24,P31,E1,45,19,0.9
24,P28,E1,19,19,0.9
25,P29,E1,42,20,0.9
25,P15,E1,13,20,0.9
25,P3,E2,80,20,0.92
25,P9,E2,80,20,0.92
25,P21,E2,80,20,0.92
26,P13,E2,80,22,0.85
26,P10,E2,57,22,0.85
28,P11,E2,80,23,0.92
28,P5,E2,80,23,0.92
28,P18,E2,80,23,0.92
28,P8,E2,17,23,0.92
28,P8,E4,46,23,0.87
29,P2,E2,80,24,0.92
29,P31,E2,80,24,0.92
29,P28,E2,51,24,0.92
29,P2,E4,46,24,0.87
29,P31,E4,45,24,0.87
30,P19,E1,29,25,0.9
30,P28,E1,25,25,0.9
30,P15,E1,21,25,0.9
30,P8,E2,80,25,0.92
30,P10,E2,80,25,0.92
31,P29,E2,80,26,0.92
31,P3,E2,80,26,0.92
31,P9,E2,40,26,0.92
31,P11,E8,80,26,0.91
31,P18,E8,80,26,0.91
32,P21,E2,80,27,0.92
32,P13,E2,80,27,0.92
32,P11,E2,80,27,0.92
32,P5,E2,60,27,0.92
32,P28,E2,80,28,0.85
33,P9,E2,57,28,0.92
33,P18,E2,80,29,0.85
35,P15,E2,80,30,0.92
35,P2,E2,80,30,0.92
35,P31,E2,80,30,0.92
35,P8,E2,63,30,0.92
35,P28,E4,44,30,0.87
36,P10,E2,80,31,0.92
36,P29,E2,80,31,0.92
36,P3,E2,80,31,0.92
36,P5,E2,62,31,0.92
36,P29,E4,43,31,0.87
37,P21,E2,80,32,0.92
37,P19,E2,80,32,0.92
37,P13,E2,80,32,0.92
37,P9,E2,80,32,0.92
37,P11,E2,5,32,0.92
38,P11,E2,80,33,0.92
38,P28,E2,80,33,0.92
38,P18,E2,80,33,0.92
38,P15,E2,80,33,0.92
38,P8,E2,40,33,0.92
39,P2,E2,80,34,0.92
39,P31,E2,80,34,0.92
39,P5,E2,80,34,0.92
39,P10,E2,60,34,0.92
39,P19,E2,80,35,0.85
40,P29,E2,80,36,0.85
40,P3,E2,57,36,0.85
42,P21,E2,80,37,0.92
42,P13,E2,80,37,0.92
42,P8,E2,80,37,0.92
42,P9,E2,80,37,0.92
42,P11,E2,27,37,0.92
43,P28,E2,80,38,0.92
43,P18,E2,80,38,0.92
43,P10,E2,80,38,0.92
43,P11,E2,80,38,0.92
43,P15,E2,25,38,0.92
44,P2,E2,79,39,0.92
44,P3,E2,77,39,0.92
44,P31,E2,76,39,0.92
44,P5,E2,70,39,0.92
44,P29,E2,23,39,0.92
45,P15,E2,55,40,0.92
45,P21,E2,47,40,0.92
45,P19,E2,45,40,0.92
45,P13,E2,43,40,0.92
45,P8,E2,39,40,0.92
46,P3,E3,54,41,0.88
