Poligono_real,Hectárea,#_plantas,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10
1,5.4,700,32,223,32,32,64,64,63,64,95,31
5,7.56,1104,50,352,50,50,100,100,100,101,151,50
4,8,1128,51,359,52,51,102,102,103,103,154,51
3,8,1176,53,374,54,54,107,107,107,107,160,53
2,7.52,1003,45,319,46,46,91,92,91,91,137,45
6,4.19,577,26,184,26,26,52,52,53,53,79,26
12,1.47,211,9,67,10,10,19,20,19,19,29,9
11,7.67,1111,50,354,51,51,101,101,101,101,151,50
10,8,1128,51,359,52,51,102,102,103,103,154,51
9,8,1176,53,374,54,54,107,107,107,107,160,53
8,7.6,1003,45,319,46,46,91,92,91,91,137,45
7,6.28,849,38,270,39,39,77,78,77,77,116,38
15,5.4,752,34,240,34,34,68,68,68,69,103,34
14,5.98,862,39,275,39,39,78,78,78,79,118,39
31,7.34,992,45,316,45,45,90,90,90,90,136,45
13,7.97,1142,54,363,52,52,104,104,103,104,155,51
26,4.75,687,31,219,31,31,62,62,63,63,94,31
25,5.05,702,32,224,32,32,64,64,63,64,95,32
19,4.92,645,29,205,30,29,59,58,59,59,88,29
16,5.64,756,34,241,35,34,69,68,69,69,103,34
17,6.11,853,39,272,39,39,78,78,77,77,116,38
18,7.06,1031,47,328,47,47,94,94,93,94,140,47
24,5.64,803,36,256,37,37,73,73,73,73,109,36
23,5.53,790,7,261,38,37,74,74,75,75,112,37
22,7.82,1105,50,352,50,50,100,100,101,101,151,50
21,8,1152,52,367,53,52,105,104,105,105,157,52
20,1.38,147,6,47,7,7,14,14,13,13,20,6
30,6.76,1081,49,344,49,49,98,98,98,99,148,49
29,6.54,936,42,298,43,43,85,86,85,85,127,42
28,6.64,964,44,307,44,44,88,88,87,88,131,43
27,1.28,123,5,39,6,6,11,12,11,11,17,5
