Polygon Index,Distance from Green Area (m),Go_time,Return_time,Total_time
0,2987.12,7.1690879999999995,4.4806799999999996,11.649767999999998
1,2878.38,6.908112000000001,4.317570000000001,11.225682000000003
2,2885.04,6.924096,4.32756,11.251656
3,2680.04,6.432096,4.02006,10.452155999999999
4,2455.04,5.892096,3.68256,9.574656
5,2113.9,5.07336,3.17085,8.24421
6,3081.51,7.395624000000001,4.6222650000000005,12.017889
7,2769.8,6.64752,4.1547,10.80222
8,2776.47,6.6635279999999995,4.164705,10.828232999999999
9,2571.47,6.1715279999999995,3.8572049999999996,10.028732999999999
10,2371.47,5.691527999999999,3.5572049999999997,9.248732999999998
11,1476.3,3.54312,2.21445,5.757569999999999
12,2715.78,6.5178720000000006,4.073670000000001,10.591542
13,1093.41,2.624184,1.6401150000000002,4.264299
14,2312.27,5.549448000000001,3.468405,9.017853
15,2528.14,6.067536,3.79221,9.859746
16,740.81,1.777944,1.111215,2.8891590000000003
17,548.55,1.31652,0.822825,2.139345
18,933.68,2.2408319999999997,1.40052,3.6413519999999995
19,359.35,0.86244,0.539025,1.401465
20,166.79,0.400296,0.250185,0.650481
21,591.38,1.4193120000000001,0.88707,2.306382
22,853.05,2.04732,1.279575,3.326895
23,1061.38,2.5473120000000002,1.59207,4.139382
24,1061.38,2.5473120000000002,1.59207,4.139382
25,1617.21,3.881304,2.425815,6.307119
26,1919.88,4.607712,2.87982,7.487532
27,399.56,0.9589439999999999,0.59934,1.558284
28,823.05,1.97532,1.234575,3.209895
29,823.05,1.97532,1.234575,3.209895
30,1028.05,2.46732,1.542075,4.009395
