Poligono_real,Hectárea,#_plantas,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,
27,1.28,58,4,17,4,4,4,3,6,6,8,2,
28,6.64,493,31,148,31,31,37,28,55,48,65,20,
29,6.54,475,30,142,30,30,35,27,53,46,63,19,
30,6.76,542,34,162,34,34,40,31,60,53,71,22,
20,1.38,70,4,21,4,4,5,4,8,7,9,3,
21,8,595,37,178,37,37,44,34,66,58,78,24,
22,7.82,566,36,170,36,36,42,32,63,55,75,23,
23,5.53,405,26,121,26,26,30,23,45,39,53,16,
24,5.64,408,26,122,26,26,30,23,45,40,54,16,
18,7.11,522,33,156,33,33,39,30,58,51,69,21,
17,6.11,426,27,128,27,27,32,24,47,41,56,17,
16,5.64,394,25,118,25,25,29,23,44,38,52,16,
19,4.92,341,21,102,21,21,25,20,38,33,45,14,
25,5.05,367,23,110,23,23,27,21,41,36,48,15,
26,4.75,353,22,106,22,22,26,20,39,34,46,14,
13,7.97,573,36,172,36,36,43,33,63,56,75,23,
31,7.34,503,32,151,32,32,37,29,56,49,66,20,
14,5.98,440,28,132,28,28,33,25,49,43,58,18,
15,5.4,401,25,120,25,25,30,23,44,39,53,16,
7,6.28,441,28,132,28,28,33,25,49,43,58,18,
8,7.6,522,33,156,33,33,39,30,58,51,69,21,
9,8,595,37,178,37,37,44,34,66,58,78,24,
10,8,577,36,173,36,36,43,33,64,56,76,23,
11,7.67,577,36,173,36,36,43,33,64,56,76,23,
12,1.47,102,6,31,6,6,8,6,11,10,13,4,
6,4.19,287,18,86,18,18,21,16,32,28,38,12,
2,7.52,505,32,151,32,32,38,29,56,49,66,20,
3,8,578,36,173,36,36,43,33,64,56,76,23,
4,8,561,35,168,35,35,42,32,62,55,74,22,
5,7.56,559,35,167,35,35,42,32,62,54,74,22,
1,5.4,383,24,115,24,24,29,22,42,37,50,15,
